"","C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40","C41","C42","C43","C44","C45","C46","C47","C48","C49","C50","C51","C52","C53","C54","C55","C56","C57","C58","C59","C60","C61","C62","C63","C64","C65","C66","C67","C68","C69","C70","C71","C72","C73","C74","C75","C76","C77","C78","C79","C80","C81","C82","C83","C84","C85","C86","C87","C88","C89","C90","C91","C92","C93","C94","C95","C96"
"KO",1288886.44429848,0.00843326060758201,10211028.2196867,9605331.26860985,24605907.6549126,7047239.2423059,126506.477725768,382179.920681492,18824875.3867131,314122.280378231,1028956.98895576,45.4195866348186,1010812.73919908,109971.11867562,4306450.18830063,310414.711173251,395087.475944552,11777683.5261111,12763147.7563858,226731.804101296,283561.006729235,377327.760322924,4747481.73406508,143712.964640653,3160118.23860064,2915343.23495836,3069162.43475793,1840079.05935267,179002.856645838,146422.59785358,1035359.1484159,112585.103699694,449836.254121704,4381505.85332685,4756267.14111626,297024.169382364,219835.601644653,6446458.41630572,2231716.73823922,216794.652604075,3444521.71177812,123634.566766349,345636.589342339,1285195.64580492,456597.188876612,8754409.39787496,448558.927868302,2318246.37703879,654508.629878239,3330.50775255441,1230752.03567801,363009.66021157,148432.564388888,986408.096088187,819537.597075269,129818.993144852,112039.584479357,1156911.78640993,374915.639171045,2547644.56366732,278286.005737877,311513.900832593,1741772.83314578,227260.710130367,942949.587056778,420736.500841661,766440.881860328,470174.407715249,925459.730323716,223178.007959852,383120.695267612,1699627.48028225,1099453.81379348,126471.980738083,341883.78478779,2394763.40271099,169895.992271536,4732.04605476724,314831.875371577,15077417.0825321,68899.3715684427,246520.361440678,218892.787176517,10437824.1363209,781337.265710137,538331.135232722,2367113.74139076,144658.408235104,28994246.0266062,7158080.91969541,526910.514051628,1553511.92778166,1054121.20683321,42315.6947535546,512458.718728739,126288.232999233
"KO",1058271.00852008,862.294864708688,10291491.639005,6588618.10929713,21005811.2960594,5401520.57912166,1382964.5856139,596384.642230092,18130309.0266459,509992.993013749,665919.675624025,2055316.2489221,3732026.81398082,1252125.14484135,4059453.81457291,789405.337404711,435456.500230652,10476508.3705966,10206167.6524346,1627641.82736288,64120.8835449295,683511.390300474,3863066.10986735,925880.841174226,2525886.09568408,2954787.6684929,2321821.79804698,1485724.25871642,129385.523062796,1566577.2770935,507099.122683989,169040.733148249,103138.995536433,3527573.70025644,4620187.22542546,278035.581870734,318335.020325505,5923750.7245861,1707139.59136281,1163005.08831845,2913595.62137378,354866.043245622,124690.824194445,1052590.59047237,359179.976265138,8441655.33049417,507063.843541669,1332478.87711229,818136.980347744,3215.22187892584,5464757.46993862,145594.589476615,987882.700682805,3031516.4559764,1420779.88555098,2778521.27351053,1811804.07857709,605292.09872369,470306.741637975,2264154.5534035,69047.3546833853,384794.964523789,1310009.88335318,169690.971395077,4388963.98472679,381207.081055272,562859.320993707,431124.263701758,769070.733552557,1120547.48619909,331535.73678021,1339611.3846424,739989.177939671,166499.867493043,324305.654566827,2269377.45978331,0.0143761860290034,295070.562907663,298985.945940527,13010531.3589341,60566.578363747,78165.6832580478,197243.629476778,9012791.28790758,766881.64955704,507519.055141098,2113758.15222175,83143.8274516127,25832529.7064822,7161798.82939907,323419.377789147,1218670.95681379,919917.2567811,36281.8533534903,437464.526899968,125451.907165668
"KO",1230189.58358731,3020648.75398433,10012675.8234176,9326816.80065954,20773754.593836,5184032.46872713,166758.244568205,1121811.34371464,20867935.0805889,722271.370473447,857078.787453521,2738922.59129703,579174.633477675,213563.960229619,3376703.70363726,275854.278447712,540797.70428217,10380666.398208,10203458.4780701,177117.548213274,181616.777151379,840293.083910287,3555483.2514231,125832.230783015,2989208.01572895,3724148.00476903,2032042.24034532,1730806.38106775,60902.1542248832,126008.336769606,647760.161458086,205499.002912077,217862.744458526,3260321.9956064,5135587.4134874,338102.347889493,193395.550709312,5874231.33348829,1917708.37769852,1237635.98658178,2623359.2813518,371980.921567672,265397.595738964,1174486.34323807,564968.130149661,8938935.70536305,335479.727020375,1251557.22716977,1008480.17341738,353876.872407757,4822213.09020753,428691.252470288,763219.047683688,2778009.07877918,1153140.99300711,201280.540872159,195048.469176746,465512.289226518,803417.233636662,2348077.5156059,136567.884390041,287854.750149406,1377763.24827671,132875.330738973,4023197.38779524,472984.663284138,611216.089075161,254281.386829331,1256155.18651132,136946.48943722,119662.087292219,1178416.49779605,537846.176456785,202619.008453147,305051.017683392,2099765.2003857,23032.4533148181,13229.2216282741,323628.472545998,13751549.5793077,232278.646220719,162688.78811431,269640.23417399,10365883.0768649,863939.550813345,576050.237582986,2649213.85799872,342932.574769252,26108403.3275784,8533529.51835595,500866.259383713,1096587.80961308,1106105.23880682,68501.8948222881,564383.137304431,110760.43649011
"KO",912094.160410343,5571717.40403948,11724240.1811269,8001220.60616153,17882861.3078865,3714587.94492492,315902.130073806,964517.638717917,24705118.852318,1429957.99523602,1010862.98080794,2830958.19786889,1394156.15066611,258033.889454607,1951077.30689361,213970.823725917,696830.533002089,9456834.56244528,8445323.05062425,577826.526625569,315723.714628437,472170.11319663,1719744.40180083,305307.095347084,2171252.70688569,4220989.74067933,2591614.14576733,1976272.44607366,74777.6675730054,396753.655405818,447990.423146668,24775.8082945417,351726.664443235,3010741.51985675,4266960.78209712,222874.316195365,206440.18836521,6061738.70465401,1142472.1679933,1669563.66679346,1940137.82440334,2508174.0634205,122123.246371377,1083772.34298795,796178.54991705,7200316.96771772,353600.268111817,645377.340176997,916597.812497127,204545.156988818,1837491.96858446,471305.409171361,865998.681090427,2189561.73242529,925410.441145926,158335.072276448,150247.223278818,295337.930969994,702502.508026597,2334709.3952613,234168.683273049,286673.574766243,773104.615893955,74235.7429049957,3571620.00002734,288055.901680216,509805.937662664,229879.497610271,1230015.31659829,116135.940306215,40928.199705312,878753.489261657,349040.814485076,149991.075126537,311079.306726109,1992848.6673994,23999.7505798343,92781.925397076,366762.673120823,15762401.4317212,216324.679493034,131412.066547085,266782.993097404,11622044.0789581,898475.720662552,663145.08902206,3116029.76108713,380287.877811813,24604830.9665949,9521045.33030962,605650.884894056,802008.634779735,1070153.98889104,866915.721458451,525750.000211666,158520.986291105
"KO",734279.644485757,4166854.12800022,11952119.8169708,10200651.5752665,18746085.4988041,3393849.33513339,59715.4538372275,604503.157451985,24509292.0145015,824762.63683289,1347185.34935822,0.0156593372504284,712344.479990751,30484.7715211212,2009528.63562744,284012.517559379,393093.976794779,9575269.05363144,8523409.04798931,75416.4257885254,114129.5230226,516252.977366531,2174922.39247063,51861.2765926142,1940735.26353186,4531324.53914598,3135241.7670534,1925528.24072209,208435.016597761,82370.549876242,432171.849571371,42979.8377591791,808716.308880638,3326941.15584183,4590052.44191876,395061.013625411,245783.989811628,5760800.91084305,845555.229684726,1734167.61525402,1709722.84146193,2480653.20594807,148737.63125936,1321932.96928302,972876.0217611,10294954.6634008,408667.507136305,793440.237480932,899387.48392059,138771.002578812,2501743.0400539,1391766.86001835,1132110.61930358,1780946.64517543,1234498.78895078,173215.92164452,154563.996057497,243574.623069029,900141.908931388,2843532.48273694,4062735.2683861,436071.88781725,676505.577698106,50575.4492245539,598095.433175477,344097.6926652,571144.964885667,228000.286877384,1387009.05154305,167470.15277081,684750.540265953,855084.728840788,426913.960853914,79207.1324346118,372985.395579876,2145796.24892841,127248.246744957,15939.5843648867,314506.52084391,15576903.0640594,253983.007128118,615099.11031806,284639.106770182,11299697.4516819,894191.412097787,639090.258879597,2548792.53959904,304227.936251654,25052903.8839009,7885670.93305399,260109.817747386,687267.215885533,1196654.64609747,990476.418586192,557654.160895195,134957.732632308
"KO",926242.795952172,1094520.30796735,15386770.4984064,9915772.46775262,18463137.1604488,3566019.03517399,102330.076227932,838315.398670838,19752017.9402683,1258570.45718438,1586986.70844862,1063.91527230832,303248.474714582,78707.611754612,3738643.48822016,583496.997460232,489040.471767812,9119623.46979243,9723266.93949343,202648.708140076,101805.488301145,531435.405425395,2330657.25612671,67067.8084104779,2087356.55234247,4214108.08510317,4636739.77768576,2263859.03638602,232880.41930418,155207.565910133,492963.95887073,70824.4522397563,749774.334552029,2970654.93381667,4041912.4938574,423114.434715234,329196.232708419,6484862.38853764,739144.969291743,2827036.76504947,1792991.33648242,2499870.43713928,160024.121110867,1295999.06141587,896502.134023008,10079217.6055226,499340.674959958,674267.529496232,900896.319712129,16574.3052438382,2351577.44786821,1791019.35402987,1354436.03403777,2119493.86378907,945244.695904313,153973.055099669,112516.536262179,159016.002484563,770192.712261989,2873023.03091767,4357718.06311237,466231.567842399,722487.461204523,44715.2627408669,552735.835450284,391903.04975135,823871.52471037,238946.11887176,1976688.37687602,118076.880587456,275027.918206798,895951.190811308,598001.914658699,82195.4310786017,350300.653416349,2248608.38343795,38071.0542176581,32874.7249971025,344418.758301903,17311799.5366679,185498.080922907,234288.532713717,372354.746426743,13737208.7177262,874174.773646757,632774.480105298,2639626.32680262,229532.667548244,25308137.4409882,6486478.30829667,276490.019381144,745867.161269363,1031204.76416598,1053480.03687291,709628.188412215,224151.36106696
"WT",1134805.73627928,0.00814592223985426,11401094.9383111,11116510.4356219,27156841.6754167,7624721.99422951,47835.6820112628,834708.665284875,20576295.5088577,422938.047786059,1154292.23625336,0.00560249385333205,555886.948612664,100321.273370236,5905091.72259922,2840821.77977896,543736.895533732,12857005.4188916,13560382.5805186,180185.663812147,297846.858716203,230276.953415473,2992435.92745431,121851.166979766,3661196.95246812,230739.665807824,170755.923869711,1788389.09668647,193957.487329591,244911.142713108,104145.290311031,111972.805513615,480632.941127755,282261.986186865,3205054.14561553,290021.503017056,1067151.32093719,5677541.07491693,3393335.3082476,198947.235863659,3908393.3549058,181815.680141161,386657.221704587,1443810.19916907,509639.346680184,9394043.8602926,469492.740821435,340366.603210526,97174.4725017821,2341.32056342714,1665957.80242576,537233.531825384,90725.229894075,825061.159205522,128536.953726929,52717.039831711,114720.407275244,1176580.34889366,344006.442359773,1371824.89846151,146094.382897123,252715.071243932,1504987.91229447,70895.3061835739,569682.884315026,361673.236746156,84230.1561998929,485054.469610488,1292767.2371244,115465.842126941,120200.735544444,1887742.8148075,1122438.35721526,178247.159913292,339245.237769931,2327214.06812654,43017.3611284401,14913.9857984466,414624.214644117,13942873.9319571,54933.3704022759,385314.462216374,213240.857629453,10369533.7809225,873887.926150873,449751.815436582,3064643.20240577,139842.667977678,30534777.4248096,8181771.94047718,569238.710691801,1752503.76399165,1167390.66702726,29173.7683678052,412226.011254329,16830.5613617747
"WT",1424778.73436593,19677.3764677491,8941338.14339584,7284779.45579274,26751554.8339367,6674517.71426115,484312.467339552,765882.594995167,17381084.4982802,393700.486048067,931676.49741845,0.00638359202128967,2782960.4777357,558524.090730229,3155216.69824367,144531.27565475,715755.68805376,12904078.0133017,13255792.8295802,340375.809885847,61563.4394675938,1587705.43777661,6768666.348449,230375.404750889,3594610.76971818,308911.168439589,188712.90092947,1767440.18859191,129146.882401209,242789.862645877,33970.6043014863,139466.157819595,422149.007358893,380028.291016793,4638278.53769799,229854.649047623,159543.568046809,5550915.63195876,3111530.48325299,920308.755431718,3961487.88779074,299911.030212436,161808.808046794,1035922.57353967,358170.325704758,6823520.34261489,435157.474367238,163778.025789105,138503.561883814,7204.94487019222,9017359.01306625,2387718.68738507,704842.863458309,3054394.24160388,351027.351435083,405254.449276339,340116.463740722,624666.890032183,668231.280487632,2599897.88738449,166715.944983509,517630.232955543,1822514.87942628,230368.107452565,4656748.66411991,455422.316898602,107667.968529579,236961.365399675,644819.733488909,158234.850876169,31198.4944215862,1965893.71503411,1166069.09031898,193083.312851963,377310.99650898,2310635.29099877,5587.51207452069,52280.5007608038,272978.044595868,13972289.7692876,156431.065303782,259009.470882247,274718.25052222,9154330.07806573,945772.099527753,438493.695955682,3387580.93837227,227405.390054474,30153612.8690319,7536398.0835085,320593.563808278,1732943.16898349,902954.962919926,13022.9597669348,510391.794512024,12396.3940219108
"WT",1201789.43066082,4033291.49068361,9078196.97798009,8189849.65056089,23458092.2898003,4891909.10232142,248082.489249459,1070895.21495151,22939297.7072162,734525.341854661,812055.132118041,873535.10148983,5532251.65528232,275774.091764186,4541836.39429593,837245.029267659,576528.584803768,11463741.3556454,10649891.3795353,106944.014736806,211774.536664762,691120.906260696,2855497.54069721,136608.718795763,2899371.4551954,508600.910642464,125128.974390274,1846017.92357671,58023.37538583,115581.996153255,45230.2309584646,151969.48145168,237821.316930158,337921.343126307,5243846.14965783,318998.735138233,352696.62236628,7162693.83651102,1747813.06248187,1260686.60465835,2550612.77407946,401235.338252799,268527.403938369,1391859.11101271,594782.014146457,7654967.84691198,292087.81696179,146172.308172031,187255.735335383,23771.2610008805,3683521.74313126,640905.884001284,957790.580608044,3678753.76348084,219804.378823055,244800.023656617,240761.807232709,474825.413966115,627289.574350607,2594774.28323713,350105.767591406,220946.146653643,1151496.01500157,119495.888808808,4493982.21014976,418217.632551073,50627.9812569396,322795.681205453,1545634.55454144,190387.272229341,168373.311655227,1149873.20649187,566324.262004529,170048.083514571,454307.017897356,2485331.03452534,52947.9496692358,37935.8071037838,251862.11107167,14722115.5517073,112101.212660309,260553.831320731,281542.315499547,11484001.0862156,943827.761073286,563320.207253988,3126150.02181114,135277.673258495,29612614.8140378,8906247.14428464,450667.93581167,1056598.7844221,1083746.58904263,86722.23644586,627230.185738115,19169.6764549563
"WT",1183780.42520795,3676863.98921793,11126027.3993944,9518242.90350683,20268636.4519619,4539851.83662064,155167.199532695,1040952.15714525,26489222.0576873,1264504.14495701,1122502.10546166,21632.9458845498,3746723.05806383,144287.110336341,2034546.26019569,555939.149444686,593628.611425205,10351105.1848749,9479299.30063033,80026.751202269,339270.76347884,711451.051463011,2339717.92955869,92947.0269196259,2521150.73364829,630653.409273278,195598.088700955,2026051.34733513,92917.3450280458,108145.099344114,48062.2883199413,52296.6922942152,556283.226590564,427132.469539887,5384256.35225353,230631.354575556,285557.614676178,6657937.46506487,1146640.67973279,1639688.89590176,2274894.59279626,747546.393635362,123340.83033798,1429618.48695221,907652.245597942,6830564.32608812,315153.987783217,121661.848957081,175746.926727379,406373.141139526,3084776.84778917,1282492.04211981,986033.472962213,2223273.89556135,253943.122105895,150378.007181805,169781.65166434,464003.013076749,982630.975156897,2652995.11755244,784718.943513788,468449.270640647,897224.83310595,87457.8875441765,4026903.33839651,375981.69386117,99608.1436325023,246355.351913701,1235501.8781805,110027.264953057,61545.8613510759,1131831.40830674,347902.377164394,133372.497698502,515654.075446328,2330174.76488846,8183.81429214882,71386.8340320406,440868.220054992,16426833.6838413,287492.195928486,486691.739568289,322217.530940624,11512357.9424104,950189.07913959,641483.883806937,2504735.99230032,427600.67095721,26517128.1591633,9253477.91088408,638802.802664433,959984.467430051,1262969.41177543,557904.94850924,699877.312222284,22646.7518711102
